Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I,Voltage_V,Resistance_Ohm
1.885805e+01,7.760725e-01,1.806995e+05,1.806995e+05,1.210459e+01,4.495639e-05,6.076152e+00,3.362573e+04
1.897666e+01,7.756718e-01,1.807039e+05,1.807039e+05,1.210461e+01,-6.575673e-05,6.076136e+00,3.362483e+04
1.909526e+01,7.825224e-01,1.807388e+05,1.807388e+05,1.210481e+01,5.502972e-04,6.076398e+00,3.361978e+04
1.921387e+01,7.850457e-01,1.807473e+05,1.807473e+05,1.210486e+01,7.291414e-04,6.076495e+00,3.361873e+04
1.933247e+01,7.782802e-01,1.808082e+05,1.808082e+05,1.210519e+01,6.180018e-04,6.076236e+00,3.360597e+04
1.945107e+01,7.796194e-01,1.807156e+05,1.807156e+05,1.210468e+01,6.095399e-04,6.076287e+00,3.362348e+04
1.956968e+01,7.483188e-01,1.808238e+05,1.808238e+05,1.210528e+01,7.303050e-04,6.075090e+00,3.359674e+04
1.968828e+01,7.521950e-01,1.808492e+05,1.808492e+05,1.210542e+01,-1.628013e-04,6.075238e+00,3.359284e+04
1.980689e+01,7.567392e-01,1.807546e+05,1.807546e+05,1.210490e+01,-1.118601e-03,6.075412e+00,3.361137e+04
1.992549e+01,7.508554e-01,1.808332e+05,1.808332e+05,1.210533e+01,-1.550777e-03,6.075187e+00,3.359554e+04
2.004409e+01,7.472895e-01,1.809027e+05,1.809027e+05,1.210571e+01,-2.172277e-03,6.075051e+00,3.358187e+04
2.016270e+01,7.251615e-01,1.805827e+05,1.805827e+05,1.210394e+01,-1.803133e-03,6.074204e+00,3.363668e+04
2.028130e+01,7.329490e-01,1.805129e+05,1.805129e+05,1.210356e+01,-1.169166e-03,6.074502e+00,3.365134e+04
2.039991e+01,7.403952e-01,1.805465e+05,1.805465e+05,1.210374e+01,-3.708892e-04,6.074787e+00,3.364666e+04
2.051851e+01,7.401483e-01,1.805360e+05,1.805360e+05,1.210369e+01,4.967868e-04,6.074777e+00,3.364857e+04
2.063712e+01,7.416101e-01,1.806743e+05,1.806743e+05,1.210445e+01,1.694088e-03,6.074833e+00,3.362312e+04
2.075572e+01,7.489377e-01,1.806903e+05,1.806903e+05,1.210454e+01,1.773997e-03,6.075114e+00,3.362170e+04
2.087432e+01,7.316212e-01,1.808216e+05,1.808216e+05,1.210527e+01,1.550282e-03,6.074451e+00,3.359362e+04
2.099293e+01,7.282555e-01,1.807625e+05,1.807625e+05,1.210494e+01,1.110636e-03,6.074322e+00,3.360389e+04
2.111153e+01,7.277077e-01,1.807640e+05,1.807640e+05,1.210495e+01,4.473556e-04,6.074301e+00,3.360350e+04
2.123014e+01,7.268097e-01,1.807699e+05,1.807699e+05,1.210498e+01,3.727866e-05,6.074267e+00,3.360220e+04
2.134874e+01,7.127939e-01,1.808065e+05,1.808065e+05,1.210518e+01,-2.039742e-04,6.073731e+00,3.359244e+04
2.146734e+01,7.129295e-01,1.807684e+05,1.807684e+05,1.210497e+01,1.332672e-04,6.073736e+00,3.359954e+04
2.158595e+01,6.986537e-01,1.807652e+05,1.807652e+05,1.210495e+01,-5.329288e-05,6.073190e+00,3.359712e+04
2.170455e+01,7.081017e-01,1.807309e+05,1.807309e+05,1.210476e+01,-2.407243e-04,6.073551e+00,3.360549e+04
2.182316e+01,7.154205e-01,1.807794e+05,1.807794e+05,1.210503e+01,-6.591356e-04,6.073831e+00,3.359803e+04
2.194176e+01,6.943594e-01,1.808236e+05,1.808236e+05,1.210528e+01,-7.994652e-04,6.073026e+00,3.358536e+04
2.206036e+01,7.102543e-01,1.807295e+05,1.807295e+05,1.210476e+01,-8.439904e-04,6.073634e+00,3.360621e+04
2.217897e+01,6.897455e-01,1.807191e+05,1.807191e+05,1.210470e+01,-1.227307e-03,6.072849e+00,3.360380e+04
2.229757e+01,6.963082e-01,1.806262e+05,1.806262e+05,1.210419e+01,-1.395286e-03,6.073100e+00,3.362248e+04
2.241618e+01,6.758322e-01,1.806340e+05,1.806340e+05,1.210423e+01,-9.624416e-04,6.072317e+00,3.361668e+04
2.253478e+01,6.632708e-01,1.806693e+05,1.806693e+05,1.210442e+01,-1.893009e-04,6.071836e+00,3.360747e+04
2.265339e+01,6.740793e-01,1.805397e+05,1.805397e+05,1.210371e+01,1.315743e-05,6.072250e+00,3.363388e+04
2.277199e+01,6.930982e-01,1.805952e+05,1.805952e+05,1.210401e+01,2.700364e-04,6.072977e+00,3.362756e+04
2.289059e+01,6.820117e-01,1.806939e+05,1.806939e+05,1.210456e+01,3.495485e-04,6.072553e+00,3.360686e+04
2.300920e+01,6.732009e-01,1.807267e+05,1.807267e+05,1.210474e+01,2.803726e-04,6.072216e+00,3.359889e+04
2.312780e+01,6.615952e-01,1.806366e+05,1.806366e+05,1.210424e+01,3.287600e-04,6.071772e+00,3.361319e+04
2.324641e+01,6.707997e-01,1.806438e+05,1.806438e+05,1.210428e+01,-2.575534e-04,6.072124e+00,3.361380e+04
2.336501e+01,6.486037e-01,1.806841e+05,1.806841e+05,1.210451e+01,-8.402796e-04,6.071275e+00,3.360160e+04
2.348361e+01,6.556665e-01,1.806410e+05,1.806410e+05,1.210427e+01,-1.242023e-03,6.071545e+00,3.361111e+04
2.360222e+01,6.629395e-01,1.806365e+05,1.806365e+05,1.210424e+01,-1.214502e-03,6.071824e+00,3.361349e+04
2.372082e+01,6.542681e-01,1.805864e+05,1.805864e+05,1.210396e+01,-1.579301e-03,6.071492e+00,3.362098e+04
2.383943e+01,6.641158e-01,1.805298e+05,1.805298e+05,1.210365e+01,-1.424497e-03,6.071869e+00,3.363361e+04
2.395803e+01,6.576668e-01,1.804483e+05,1.804483e+05,1.210320e+01,-7.141542e-04,6.071622e+00,3.364742e+04
2.407663e+01,6.519220e-01,1.804839e+05,1.804839e+05,1.210340e+01,2.037540e-05,6.071402e+00,3.363958e+04
2.419524e+01,6.299251e-01,1.804097e+05,1.804097e+05,1.210299e+01,5.879120e-04,6.070561e+00,3.364874e+04
2.431384e+01,6.416284e-01,1.805108e+05,1.805108e+05,1.210355e+01,1.012497e-03,6.071008e+00,3.363237e+04
2.443245e+01,6.404976e-01,1.806057e+05,1.806057e+05,1.210407e+01,1.315182e-03,6.070965e+00,3.361447e+04
2.455105e+01,6.342364e-01,1.806477e+05,1.806477e+05,1.210430e+01,9.883409e-04,6.070726e+00,3.360532e+04
2.466966e+01,6.517315e-01,1.806014e+05,1.806014e+05,1.210405e+01,9.534703e-04,6.071395e+00,3.361766e+04
2.478826e+01,6.369094e-01,1.806093e+05,1.806093e+05,1.210409e+01,4.076574e-04,6.070828e+00,3.361304e+04
2.490686e+01,6.346816e-01,1.806467e+05,1.806467e+05,1.210430e+01,2.589338e-04,6.070743e+00,3.360562e+04
2.502547e+01,6.266756e-01,1.805755e+05,1.805755e+05,1.210390e+01,7.248557e-04,6.070436e+00,3.361717e+04
2.514407e+01,6.191250e-01,1.806566e+05,1.806566e+05,1.210435e+01,9.449481e-04,6.070147e+00,3.360047e+04
